Date,Day,MinT,MaxT,Water,ET
2020-04-30,0,13.9,24.8,0.01,0.14
2020-05-01,1,11.1,26.9,0,0.15
2020-05-02,2,12.4,31,0,0.16
2020-05-03,3,13.4,31,0,0.16
2020-05-04,4,15.9,32.1,0,0.17
2020-05-05,5,18.7,31.4,0,0.17
2020-05-06,6,18.3,28.3,0,0.17
2020-05-07,7,10.2,24.2,0,0.14
2020-05-08,8,9.7,27.1,0,0.14
2020-05-09,9,14.1,25.1,1,0.15
2020-05-10,10,13.1,28.5,0,0.15
2020-05-11,11,11.5,28.3,0,0.16
2020-05-12,12,10.9,29.5,0.03,0.15
2020-05-13,13,13.6,32.3,0,0.2
2020-05-14,14,18.5,31.3,0,0.22
2020-05-15,15,18.4,32.2,0,0.21
2020-05-16,16,18.6,33.7,0,0.21
2020-05-17,17,20.8,32.8,0.66,0.16
2020-05-18,18,21.6,29.5,0.13,0.15
2020-05-19,19,20,31,0,0.22
2020-05-20,20,20.9,26.2,0.14,0.1
2020-05-21,21,18.5,31.1,0,0.16
2020-05-22,22,19.6,34.1,0,0.2
2020-05-23,23,19.7,34.6,0.21,0.19
2020-05-24,24,21,33.6,0,0.19
2020-05-25,25,21.5,32.3,0.07,0.18
2020-05-26,26,21.5,27.4,0.03,0.08
2020-05-27,27,20.8,31.4,0.57,0.15
2020-05-28,28,21.4,33,0,0.18
2020-05-29,29,22.1,30.6,0.32,0.16
2020-05-30,30,21.8,33.8,0,0.22
2020-05-31,31,21,33.1,0,0.2
2020-06-01,32,20.2,33.7,0.01,0.21
2020-06-02,33,23.1,26.2,0,0.07
2020-06-03,34,21.6,30.6,0.08,0.11
2020-06-04,35,20.6,32.9,0,0.19
2020-06-05,36,20.8,34.9,0.46,0.23
2020-06-06,37,21.9,27,0.98,0.1
2020-06-07,38,22,29.1,1.5,0.13
2020-06-08,39,24.8,32.4,0.11,0.22
2020-06-09,40,23.4,29.2,1.6,0.1
2020-06-10,41,23,33.2,0.01,0.21
2020-06-11,42,23.6,34,0,0.23
2020-06-12,43,22.9,33.2,0,0.22
2020-06-13,44,20.7,33.2,0,0.2
2020-06-14,45,20,33.2,0,0.23
2020-06-15,46,19.3,33.2,0,0.21
2020-06-16,47,18.8,30.1,0,0.21
2020-06-17,48,16.9,31.6,1,0.18
2020-06-18,49,18.2,34.2,0,0.23
2020-06-19,50,20.2,35.9,0,0.22
2020-06-20,51,21.7,36,0,0.22
2020-06-21,52,22.1,34.1,0,0.22
2020-06-22,53,21.4,35.2,0.5,0.19
2020-06-23,54,21.7,31.4,0.16,0.17
2020-06-24,55,24,33.5,0,0.17
2020-06-25,56,23.2,32.6,0.18,0.13
